"Census Profile, 2021 Census of Population",,,
,,,British Columbia [Province]
,,,Counts
Topic,Characteristic,Total,
Income of individuals in 2019,    Average employment income in 2019 for full-year full-time workers in 2020 ($),72800,
Income of individuals in 2019,  Number of employment income recipients in 2019 who worked part-year or part-time in 2020 - 25% sample data,1128665,
Income of individuals in 2019,    Median employment income in 2019 of those who worked part-year or part-time in 2020 ($),25200,
Income of individuals in 2019,    Average employment income in 2019 of those who worked part-year or part-time in 2020 ($),36280,
Income of individuals in 2019,Composition of total income in 2019 of the population aged 15 years and over in private households (%) - 25% sample data,100,
Income of individuals in 2019,  Market income (%),89,
Income of individuals in 2019,    Employment income (%),70.4,
Income of individuals in 2019,  Government transfers (%),10.9,
Income of individuals in 2019,    Employment insurance benefits (%),0.9,
Income of households in 2020,Total - Income statistics for private households - 100% data,2041835,
Income of households in 2020,  Median total income of household in 2020 ($),85000,
Income of households in 2020,  Median after-tax income of household in 2020 ($),76000,
Income of households in 2020,    Total - Income statistics for one-person private households - 100% data,600705,
Income of households in 2020,      Median total income of one-person households in 2020 ($),43200,
Income of households in 2020,      Median after-tax income of one-person households in 2020 ($),39200,
Income of households in 2020,    Total - Income statistics for two-or-more-persons private households - 100% data,1441130,
Income of households in 2020,      Median total income of two-or-more-person households in 2020 ($),108000,
Income of households in 2020,      Median after-tax income of two-or-more-person households in 2020 ($),95000,
Income of households in 2020,Total - Income statistics for private households - 25% sample data,2041835,
Income of households in 2020,  Average total income of household in 2020 ($),108600,
Income of households in 2020,  Average after-tax income of household in 2020 ($),91100,
Income of households in 2020,    Total - Income statistics for one-person private households - 25% sample data,600425,
Income of households in 2020,      Average total income of one-person households in 2020 ($),55600,
Income of households in 2020,      Average after-tax income of one-person households in 2020 ($),46680,
Income of households in 2020,    Total - Income statistics for two-or-more-persons private households - 25% sample data,1441410,
Income of households in 2020,      Average total income of two-or-more-person households in 2020 ($),130800,
Income of households in 2020,      Average after-tax income of two-or-more-person households in 2020 ($),109600,
Income of households in 2020,Total - Household total income groups in 2020 for private households - 100% data,2041835,
Income of households in 2020,"  Under $5,000",30080,
Income of households in 2020,"  $5,000 to $9,999",13160,
Income of households in 2020,"  $10,000 to $14,999",19290,
Income of households in 2020,"  $15,000 to $19,999",41735,
Income of households in 2020,"  $20,000 to $24,999",82340,
Income of households in 2020,"  $25,000 to $29,999",63830,
Income of households in 2020,"  $30,000 to $34,999",64895,
Income of households in 2020,"  $35,000 to $39,999",75105,
Income of households in 2020,"  $40,000 to $44,999",73975,
Income of households in 2020,"  $45,000 to $49,999",73180,
Income of households in 2020,"  $50,000 to $59,999",144895,
Income of households in 2020,"  $60,000 to $69,999",139140,
Income of households in 2020,"  $70,000 to $79,999",131840,
Income of households in 2020,"  $80,000 to $89,999",122530,
Income of households in 2020,"  $90,000 to $99,999",112775,
Income of households in 2020,"  $100,000 and over",853065,
Income of households in 2020,"    $100,000 to $124,999",235680,
Income of households in 2020,"    $125,000 to $149,999",178970,
Income of households in 2020,"    $150,000 to $199,999",221175,
Income of households in 2020,"    $200,000 and over",217240,
Income of households in 2020,Total - Household after-tax income groups in 2020 for private households - 100% data,2041835,
